,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-05-29,0,3,3,3,3,4,2,2,2,2,2,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-30,0,2,2,2,2,5,2,2,7,5,6,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-06-04,1,5,5,7,7,7,5,5,5,5,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-05,1,1,1,1,1,2,2,2,3,4,4,4,0,23,23,23,23,23,0,0,0,0,0,0,0,-1,9
2021-06-11,1,2,2,3,3,3,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-12,0,1,1,1,1,2,1,1,0,0,1,1,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,9
2021-06-13,1,3,3,1,1,4,2,2,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-06-18,3,3,3,3,3,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-19,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-06-20,0,0,0,0,0,4,2,0,1,1,1,1,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,-1,15
2021-06-25,5,5,5,5,5,6,0,0,0,0,0,0,0,4,4,4,4,4,3,-1,-1,-1,-1,-1,-1,-1,9
2021-06-26,0,0,0,0,0,0,1,1,1,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,9
2021-06-27,1,4,4,5,5,6,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-07-02,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9
2021-07-03,0,1,1,1,1,2,1,2,3,2,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-04,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-07-09,0,2,2,2,2,6,5,5,6,2,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-10,0,1,1,1,1,0,1,1,3,3,3,3,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,9
2021-07-11,0,4,4,3,3,4,2,3,6,7,4,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-07-16,4,5,5,5,4,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-07-17,1,2,2,2,2,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-18,2,4,4,4,5,7,7,7,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-07-23,1,5,5,5,5,5,5,5,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,13
2021-07-24,1,3,3,3,6,7,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,11
2021-07-25,6,6,6,6,6,7,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,8
2021-07-30,0,3,3,3,3,5,3,3,4,6,3,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,2
2021-07-31,0,0,0,0,0,6,3,2,4,4,2,2,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,11
2021-08-01,0,0,0,0,1,9,1,1,1,1,0,0,0,-1,-1,-1,-1,10,0,0,0,0,0,-1,-1,-1,15
2021-08-06,1,3,3,3,3,5,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,13
2021-08-07,0,2,2,2,2,4,1,1,1,1,1,1,0,-1,0,0,0,0,0,17,17,17,17,17,17,-1,9
2021-08-08,0,2,2,2,5,8,1,1,2,4,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-13,3,6,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-14,1,2,2,1,1,3,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-15,4,7,7,4,5,12,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,13
2021-08-20,3,7,7,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-21,1,2,2,1,1,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-22,1,1,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,15
2021-08-27,2,9,9,9,9,9,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-08-29,1,1,1,1,1,5,6,6,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-09-03,0,1,1,1,2,5,2,0,1,2,1,1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,11
2021-09-04,0,0,0,0,0,2,2,2,4,3,3,3,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,9
2021-09-05,1,2,2,3,3,10,5,5,5,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-09-10,1,7,7,7,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,15
2021-09-17,0,1,1,1,1,2,0,0,4,1,1,0,0,-1,1,1,1,1,0,-1,-1,0,0,0,-1,-1,9
2021-09-18,0,1,1,1,2,6,0,0,1,0,0,0,0,-1,11,11,11,0,0,-1,-1,0,-1,-1,-1,-1,9
2021-09-19,0,0,0,0,1,3,3,2,2,2,0,0,0,-1,-1,-1,-1,4,0,0,0,0,0,-1,-1,-1,17
2021-09-24,2,3,3,3,3,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-09-25,0,2,2,1,1,5,1,1,2,2,2,1,0,-1,0,0,0,0,0,1,1,0,0,0,0,-1,9
2021-09-26,0,1,1,2,4,4,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-10-01,0,1,1,1,0,1,0,0,1,1,1,1,0,-1,0,0,0,-1,0,-1,-1,0,0,0,0,-1,9
2021-10-02,0,2,2,2,2,2,1,1,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,9
2021-10-03,0,0,0,0,0,2,3,3,2,2,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,15
2021-10-08,2,2,2,4,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,9
2021-10-09,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-10-10,1,1,1,1,1,4,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,17
2021-10-15,0,2,2,2,3,2,1,2,1,0,0,0,0,-1,0,0,0,0,0,1,1,1,-1,-1,-1,-1,9
2021-10-16,0,1,1,0,1,4,0,0,1,1,1,1,0,-1,0,0,-1,3,0,-1,-1,0,0,0,0,-1,9
2021-10-17,1,1,1,1,1,5,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-10-22,2,5,5,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,9
2021-10-23,0,0,0,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,9
2021-10-24,0,1,1,1,1,5,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-10-29,1,3,3,3,3,3,2,2,3,3,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,-1,9
