,date,time_left,y,leisure_biking:idx,t_2m:C,precip_24h:mm,day_off
236,2021-05-21,11:48:30,0,0,16.8,3.2,0
288,2021-05-21,21:02:30,0,0,16.8,3.2,0
289,2021-05-21,19:48:30,0,0,16.8,3.2,0
290,2021-05-21,19:48:30,0,0,16.8,3.2,0
35,2021-06-05,20:07:48,0,0.6,16.8,9.36,1
36,2021-06-05,17:48:30,0,0.6,16.8,9.36,1
37,2021-06-05,17:48:30,0,0.6,16.8,9.36,1
38,2021-06-05,19:02:30,0,0.6,16.8,9.36,1
39,2021-06-05,17:48:30,0,0.6,16.8,9.36,1
40,2021-06-05,17:48:30,0,0.6,16.8,9.36,1
41,2021-06-05,19:02:30,0,0.6,16.8,9.36,1
166,2021-06-05,14:02:30,0,0.6,16.8,9.36,1
167,2021-06-05,15:07:48,0,0.6,16.8,9.36,1
168,2021-06-05,13:31:30,0,0.6,16.8,9.36,1
169,2021-06-05,12:55:00,0,0.6,16.8,9.36,1
170,2021-06-05,15:07:48,0,0.6,16.8,9.36,1
42,2021-06-25,19:02:30,0,1,22,8.74,0
43,2021-06-25,19:02:30,0,1,22,8.74,0
44,2021-06-25,19:02:30,0,1,22,8.74,0
45,2021-06-25,19:02:30,0,1,22,8.74,0
46,2021-06-25,19:02:30,0,1,22,8.74,0
47,2021-06-25,19:02:30,0,1,22,8.74,0
48,2021-09-17,20:07:48,0,1,22.1,2.73,0
49,2021-09-17,19:02:30,0,1,22.1,2.73,0
50,2021-09-17,17:55:00,0,1,22.1,2.73,0
51,2021-09-17,18:18:54,0,1,22.1,2.73,0
52,2021-09-17,18:18:54,0,1,22.1,2.73,0
53,2021-09-17,18:18:54,0,1,22.1,2.73,0
54,2021-09-17,19:02:30,0,1,22.1,2.73,0
140,2021-09-17,17:57:48,0,1,22.1,2.73,0
141,2021-09-17,17:48:30,0,1,22.1,2.73,0
142,2021-09-17,17:48:30,0,1,22.1,2.73,0
143,2021-09-17,17:48:30,0,1,22.1,2.73,0
144,2021-09-17,17:57:48,0,1,22.1,2.73,0
145,2021-09-17,17:57:48,0,1,22.1,2.73,0
146,2021-09-17,17:57:48,0,1,22.1,2.73,0
147,2021-09-17,18:36:24,0,1,22.1,2.73,0
148,2021-09-17,19:02:30,0,1,22.1,2.73,0
149,2021-09-17,20:05:30,0,1,22.1,2.73,0
150,2021-09-17,20:05:30,0,1,22.1,2.73,0
55,2021-09-18,19:02:30,0,1,21.6,0,1
56,2021-09-18,19:02:30,0,1,21.6,0,1
57,2021-09-18,19:02:30,0,1,21.6,0,1
58,2021-09-18,19:02:30,0,1,21.6,0,1
59,2021-09-18,19:02:30,0,1,21.6,0,1
60,2021-09-18,18:18:54,0,1,21.6,0,1
61,2021-09-18,19:02:30,0,1,21.6,0,1
62,2021-09-18,20:07:48,0,1,21.6,0,1
63,2021-06-19,17:57:48,0,0.7,30.4,0.28,1
64,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
65,2021-06-19,19:02:30,0,0.7,30.4,0.28,1
66,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
67,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
68,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
69,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
70,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
71,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
72,2021-06-19,19:02:30,0,0.7,30.4,0.28,1
73,2021-06-19,19:02:30,0,0.7,30.4,0.28,1
74,2021-06-19,20:05:30,0,0.7,30.4,0.28,1
75,2021-06-19,17:57:48,0,0.7,30.4,0.28,1
76,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
77,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
78,2021-06-19,17:48:30,0,0.7,30.4,0.28,1
428,2021-06-19,07:02:30,0,0.7,30.4,0.28,1
429,2021-06-19,08:05:30,0,0.7,30.4,0.28,1
430,2021-06-19,08:05:30,0,0.7,30.4,0.28,1
431,2021-06-19,07:02:30,0,0.7,30.4,0.28,1
432,2021-06-19,08:05:30,0,0.7,30.4,0.28,1
433,2021-06-19,08:05:30,0,0.7,30.4,0.28,1
434,2021-06-19,08:05:30,0,0.7,30.4,0.28,1
435,2021-06-19,05:55:48,0,0.7,30.4,0.28,1
436,2021-06-19,05:55:48,0,0.7,30.4,0.28,1
437,2021-06-19,08:05:30,0,0.7,30.4,0.28,1
438,2021-06-19,07:02:30,0,0.7,30.4,0.28,1
439,2021-06-19,07:02:30,0,0.7,30.4,0.28,1
440,2021-06-19,07:02:30,0,0.7,30.4,0.28,1
441,2021-06-19,07:02:30,0,0.7,30.4,0.28,1
442,2021-06-19,07:02:30,0,0.7,30.4,0.28,1
443,2021-06-19,07:02:30,0,0.7,30.4,0.28,1
444,2021-06-19,08:55:36,0,0.7,30.4,0.28,1
79,2021-08-01,17:48:30,0,0,18.7,17.09,1
80,2021-08-01,17:48:30,0,0,18.7,17.09,1
81,2021-08-01,17:48:30,0,0,18.7,17.09,1
82,2021-08-01,17:48:30,0,0,18.7,17.09,1
83,2021-08-01,17:57:48,0,0,18.7,17.09,1
84,2021-08-01,17:57:48,0,0,18.7,17.09,1
85,2021-08-01,17:48:30,0,0,18.7,17.09,1
86,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
87,2021-08-22,19:02:30,1,0.85,24.9,2.59,1
88,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
89,2021-08-22,17:48:30,1,0.85,24.9,2.59,1
90,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
91,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
92,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
93,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
94,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
95,2021-08-22,19:02:30,1,0.85,24.9,2.59,1
96,2021-08-22,19:02:30,1,0.85,24.9,2.59,1
97,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
98,2021-08-22,17:48:30,1,0.85,24.9,2.59,1
99,2021-08-22,19:02:30,1,0.85,24.9,2.59,1
100,2021-08-22,19:02:30,1,0.85,24.9,2.59,1
101,2021-08-22,18:25:42,1,0.85,24.9,2.59,1
102,2021-08-22,17:48:30,1,0.85,24.9,2.59,1
103,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
104,2021-08-22,17:57:48,1,0.85,24.9,2.59,1
182,2021-08-22,15:27:30,0,0.85,24.9,2.59,1
183,2021-08-22,14:02:30,0,0.85,24.9,2.59,1
184,2021-08-22,14:02:30,0,0.85,24.9,2.59,1
185,2021-08-22,14:02:30,0,0.85,24.9,2.59,1
186,2021-08-22,14:02:30,0,0.85,24.9,2.59,1
187,2021-08-22,15:07:48,0,0.85,24.9,2.59,1
188,2021-08-22,15:37:42,0,0.85,24.9,2.59,1
105,2021-08-29,17:48:30,0,0.8,20.9,1.02,1
106,2021-08-29,17:48:30,0,0.8,20.9,1.02,1
107,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
108,2021-08-29,19:02:30,0,0.8,20.9,1.02,1
109,2021-08-29,19:02:30,0,0.8,20.9,1.02,1
110,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
111,2021-08-29,17:48:30,0,0.8,20.9,1.02,1
112,2021-08-29,17:48:30,0,0.8,20.9,1.02,1
113,2021-08-29,20:05:30,0,0.8,20.9,1.02,1
114,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
115,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
116,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
117,2021-08-29,17:48:30,0,0.8,20.9,1.02,1
118,2021-08-29,19:02:30,0,0.8,20.9,1.02,1
119,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
120,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
121,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
122,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
123,2021-08-29,17:48:30,0,0.8,20.9,1.02,1
124,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
125,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
126,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
127,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
128,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
129,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
130,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
131,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
132,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
133,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
134,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
135,2021-08-29,17:48:30,0,0.8,20.9,1.02,1
136,2021-08-29,17:48:30,0,0.8,20.9,1.02,1
137,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
138,2021-08-29,18:25:42,0,0.8,20.9,1.02,1
139,2021-08-29,17:57:48,0,0.8,20.9,1.02,1
151,2021-03-21,15:02:30,0,0.7,8.9,0,1
152,2021-03-21,15:02:30,0,0.7,8.9,0,1
153,2021-04-18,14:18:54,0,0.5,11.2,1.37,1
154,2021-04-18,15:02:30,0,0.5,11.2,1.37,1
155,2021-04-18,15:02:30,0,0.5,11.2,1.37,1
156,2021-04-18,15:02:30,0,0.5,11.2,1.37,1
157,2021-04-18,15:02:30,0,0.5,11.2,1.37,1
158,2021-04-18,16:07:48,0,0.5,11.2,1.37,1
159,2021-04-18,16:07:48,0,0.5,11.2,1.37,1
216,2021-04-18,13:02:30,0,0.5,11.2,1.37,1
217,2021-04-18,13:02:30,0,0.5,11.2,1.37,1
218,2021-04-18,13:02:30,0,0.5,11.2,1.37,1
219,2021-04-18,14:07:48,0,0.5,11.2,1.37,1
220,2021-04-18,13:02:30,0,0.5,11.2,1.37,1
221,2021-04-18,14:07:48,0,0.5,11.2,1.37,1
222,2021-04-18,13:02:30,0,0.5,11.2,1.37,1
223,2021-04-18,11:48:30,0,0.5,11.2,1.37,1
224,2021-04-18,13:02:30,0,0.5,11.2,1.37,1
225,2021-04-18,14:07:48,0,0.5,11.2,1.37,1
226,2021-04-18,14:27:30,0,0.5,11.2,1.37,1
160,2021-05-30,15:02:30,1,1,20.1,0,1
161,2021-05-30,15:02:30,1,1,20.1,0,1
162,2021-05-30,15:02:30,1,1,20.1,0,1
163,2021-05-30,13:48:30,1,1,20.1,0,1
164,2021-05-30,16:27:30,1,1,20.1,0,1
165,2021-05-30,16:07:48,1,1,20.1,0,1
417,2021-05-30,05:55:48,0,1,20.1,0,1
418,2021-05-30,07:02:30,0,1,20.1,0,1
419,2021-05-30,08:31:30,0,1,20.1,0,1
171,2021-07-09,15:07:48,0,1,22.7,29.76,0
172,2021-07-09,14:02:30,0,1,22.7,29.76,0
173,2021-07-09,15:07:48,0,1,22.7,29.76,0
174,2021-07-09,12:48:30,0,1,22.7,29.76,0
175,2021-07-09,13:31:30,0,1,22.7,29.76,0
176,2021-07-09,12:48:30,0,1,22.7,29.76,0
177,2021-07-09,12:48:30,0,1,22.7,29.76,0
178,2021-07-09,15:07:48,0,1,22.7,29.76,0
179,2021-07-09,15:07:48,0,1,22.7,29.76,0
180,2021-07-09,15:27:30,0,1,22.7,29.76,0
181,2021-07-09,15:27:30,0,1,22.7,29.76,0
189,2021-08-27,14:02:30,0,1,21.6,0,0
190,2021-08-27,14:02:30,0,1,21.6,0,0
191,2021-08-27,12:48:30,0,1,21.6,0,0
192,2021-08-27,15:07:48,0,1,21.6,0,0
193,2021-08-27,14:02:30,0,1,21.6,0,0
194,2021-08-27,15:07:48,0,1,21.6,0,0
195,2021-08-27,15:07:48,0,1,21.6,0,0
333,2021-08-27,19:57:48,0,1,21.6,0,0
334,2021-08-27,19:57:48,0,1,21.6,0,0
335,2021-08-27,21:02:30,0,1,21.6,0,0
336,2021-08-27,19:57:48,0,1,21.6,0,0
337,2021-08-27,19:57:48,0,1,21.6,0,0
338,2021-08-27,19:57:48,0,1,21.6,0,0
339,2021-08-27,19:48:30,0,1,21.6,0,0
340,2021-08-27,20:36:24,0,1,21.6,0,0
341,2021-08-27,19:57:48,0,1,21.6,0,0
196,2021-10-02,13:06:36,0,0.65,20.6,0.01,1
197,2021-10-02,14:02:30,0,0.65,20.6,0.01,1
198,2021-10-02,13:18:54,0,0.65,20.6,0.01,1
199,2021-10-02,15:27:30,0,0.65,20.6,0.01,1
200,2021-10-22,13:31:30,0,0.9,14.9,0,1
201,2021-10-22,13:31:30,0,0.9,14.9,0,1
202,2021-10-22,14:02:30,0,0.9,14.9,0,1
203,2021-10-22,14:02:30,0,0.9,14.9,0,1
204,2021-10-22,14:02:30,0,0.9,14.9,0,1
205,2021-10-22,14:02:30,0,0.9,14.9,0,1
206,2021-10-22,14:02:30,0,0.9,14.9,0,1
207,2021-10-22,15:37:42,0,0.9,14.9,0,1
208,2021-10-22,15:37:42,0,0.9,14.9,0,1
209,2021-04-11,13:02:30,0,0.75,14.1,0.19,1
210,2021-04-11,13:02:30,0,0.75,14.1,0.19,1
211,2021-04-11,13:02:30,0,0.75,14.1,0.19,1
212,2021-04-11,13:02:30,0,0.75,14.1,0.19,1
213,2021-04-11,13:02:30,0,0.75,14.1,0.19,1
214,2021-04-16,13:02:30,0,0.75,10,0.39,0
215,2021-04-16,11:48:30,0,0.75,10,0.39,0
237,2021-06-18,14:07:48,0,0.8,29.8,0,0
238,2021-06-18,13:02:30,0,0.8,29.8,0,0
239,2021-06-18,11:48:30,0,0.8,29.8,0,0
240,2021-06-18,11:48:30,0,0.8,29.8,0,0
241,2021-06-18,13:02:30,0,0.8,29.8,0,0
242,2021-06-18,14:07:48,0,0.8,29.8,0,0
243,2021-06-18,14:07:48,0,0.8,29.8,0,0
244,2021-06-20,13:02:30,0,0,27,17.16,1
245,2021-06-20,13:02:30,0,0,27,17.16,1
246,2021-06-20,13:02:30,0,0,27,17.16,1
247,2021-06-20,12:46:18,0,0,27,17.16,1
248,2021-06-20,13:02:30,0,0,27,17.16,1
249,2021-06-20,13:02:30,0,0,27,17.16,1
250,2021-06-20,13:02:30,0,0,27,17.16,1
251,2021-06-20,13:02:30,0,0,27,17.16,1
252,2021-06-20,13:02:30,0,0,27,17.16,1
253,2021-06-20,14:37:42,0,0,27,17.16,1
254,2021-06-20,14:37:42,0,0,27,17.16,1
445,2021-06-20,05:55:48,0,0,27,17.16,1
446,2021-06-20,08:31:30,0,0,27,17.16,1
447,2021-06-20,08:05:30,0,0,27,17.16,1
255,2021-07-10,14:07:48,0,0.8,27.3,0,1
256,2021-07-10,13:02:30,0,0.8,27.3,0,1
257,2021-07-10,14:07:48,0,0.8,27.3,0,1
258,2021-07-10,13:02:30,0,0.8,27.3,0,1
259,2021-07-10,13:02:30,0,0.8,27.3,0,1
260,2021-07-10,12:31:30,0,0.8,27.3,0,1
306,2021-07-10,21:02:30,0,0.8,27.3,0,1
307,2021-07-10,19:57:48,0,0.8,27.3,0,1
308,2021-07-10,19:57:48,0,0.8,27.3,0,1
309,2021-07-10,20:25:42,0,0.8,27.3,0,1
310,2021-07-10,19:57:48,0,0.8,27.3,0,1
311,2021-07-10,19:57:48,0,0.8,27.3,0,1
312,2021-07-10,19:48:30,0,0.8,27.3,0,1
313,2021-07-10,21:02:30,0,0.8,27.3,0,1
314,2021-07-10,20:36:24,0,0.8,27.3,0,1
448,2021-07-10,07:02:30,0,0.8,27.3,0,1
449,2021-07-10,05:46:30,0,0.8,27.3,0,1
450,2021-07-10,08:31:30,0,0.8,27.3,0,1
451,2021-07-10,07:02:30,0,0.8,27.3,0,1
452,2021-07-10,06:36:48,0,0.8,27.3,0,1
453,2021-07-10,06:36:48,0,0.8,27.3,0,1
454,2021-07-10,05:55:48,0,0.8,27.3,0,1
455,2021-07-10,05:55:48,0,0.8,27.3,0,1
456,2021-07-10,08:05:30,0,0.8,27.3,0,1
457,2021-07-10,08:05:30,0,0.8,27.3,0,1
458,2021-07-10,08:05:30,0,0.8,27.3,0,1
459,2021-07-10,08:05:30,0,0.8,27.3,0,1
261,2021-08-08,11:48:30,0,0.85,21.8,11.77,1
262,2021-08-08,13:02:30,0,0.85,21.8,11.77,1
263,2021-08-08,11:48:30,0,0.85,21.8,11.77,1
264,2021-08-08,11:55:00,0,0.85,21.8,11.77,1
265,2021-08-08,13:02:30,0,0.85,21.8,11.77,1
266,2021-08-08,13:02:30,0,0.85,21.8,11.77,1
267,2021-08-08,13:02:30,0,0.85,21.8,11.77,1
268,2021-08-08,13:02:30,0,0.85,21.8,11.77,1
269,2021-08-08,13:02:30,0,0.85,21.8,11.77,1
270,2021-08-08,14:07:48,0,0.85,21.8,11.77,1
271,2021-08-08,14:07:48,0,0.85,21.8,11.77,1
272,2021-08-08,14:07:48,0,0.85,21.8,11.77,1
470,2021-08-08,06:36:48,0,0.85,21.8,11.77,1
471,2021-08-08,08:05:30,0,0.85,21.8,11.77,1
472,2021-08-08,08:05:30,0,0.85,21.8,11.77,1
473,2021-08-08,08:05:30,0,0.85,21.8,11.77,1
474,2021-08-08,06:26:30,0,0.85,21.8,11.77,1
475,2021-08-08,05:46:30,0,0.85,21.8,11.77,1
476,2021-08-08,07:02:30,0,0.85,21.8,11.77,1
273,2021-09-24,12:31:30,0,1,21.5,0,0
274,2021-09-24,13:02:30,0,1,21.5,0,0
275,2021-09-24,14:07:48,0,1,21.5,0,0
276,2021-09-24,13:02:30,0,1,21.5,0,0
277,2021-09-24,13:02:30,0,1,21.5,0,0
278,2021-09-24,14:07:48,0,1,21.5,0,0
501,2021-09-24,06:36:48,0,1,21.5,0,0
502,2021-09-24,07:02:30,0,1,21.5,0,0
503,2021-09-24,07:02:30,0,1,21.5,0,0
504,2021-09-24,07:02:30,0,1,21.5,0,0
505,2021-09-24,07:02:30,0,1,21.5,0,0
506,2021-09-24,05:46:30,0,1,21.5,0,0
507,2021-09-24,07:02:30,0,1,21.5,0,0
508,2021-09-24,07:02:30,0,1,21.5,0,0
279,2021-10-01,11:48:30,0,0.9,22.3,0,0
280,2021-10-01,11:48:30,0,0.9,22.3,0,0
281,2021-10-01,14:07:48,0,0.9,22.3,0,0
282,2021-10-01,13:02:30,0,0.9,22.3,0,0
283,2021-10-01,13:02:30,0,0.9,22.3,0,0
284,2021-10-01,12:06:36,0,0.9,22.3,0,0
285,2021-10-01,12:18:54,0,0.9,22.3,0,0
286,2021-10-01,13:02:30,0,0.9,22.3,0,0
287,2021-10-01,13:02:30,0,0.9,22.3,0,0
291,2021-06-27,19:48:30,0,0.8,27.6,0,1
292,2021-06-27,19:48:30,0,0.8,27.6,0,1
293,2021-06-27,19:57:48,0,0.8,27.6,0,1
294,2021-06-27,19:48:30,0,0.8,27.6,0,1
295,2021-06-27,19:57:48,0,0.8,27.6,0,1
296,2021-06-27,19:48:30,0,0.8,27.6,0,1
297,2021-06-27,19:48:30,0,0.8,27.6,0,1
298,2021-06-27,19:48:30,0,0.8,27.6,0,1
299,2021-06-27,19:57:48,0,0.8,27.6,0,1
300,2021-06-27,21:02:30,0,0.8,27.6,0,1
301,2021-07-02,19:48:30,0,0.85,24.5,0.35,0
302,2021-07-02,19:48:30,0,0.85,24.5,0.35,0
303,2021-07-02,19:48:30,0,0.85,24.5,0.35,0
304,2021-07-04,19:57:48,0,0.55,21.4,6.07,1
305,2021-07-04,19:57:48,0,0.55,21.4,6.07,1
315,2021-07-25,19:57:48,0,0,23.2,3.2,1
316,2021-07-25,19:57:48,0,0,23.2,3.2,1
317,2021-07-25,19:48:30,0,0,23.2,3.2,1
318,2021-07-25,21:02:30,0,0,23.2,3.2,1
319,2021-07-25,21:02:30,0,0,23.2,3.2,1
320,2021-07-25,21:02:30,0,0,23.2,3.2,1
321,2021-07-25,19:48:30,0,0,23.2,3.2,1
322,2021-07-25,21:02:30,0,0,23.2,3.2,1
323,2021-07-25,21:02:30,0,0,23.2,3.2,1
324,2021-07-25,21:02:30,0,0,23.2,3.2,1
325,2021-08-13,22:05:30,0,0.8,29.7,8.24,0
326,2021-08-13,19:57:48,0,0.8,29.7,8.24,0
327,2021-08-13,20:25:42,0,0.8,29.7,8.24,0
328,2021-08-13,20:25:42,0,0.8,29.7,8.24,0
329,2021-08-13,22:05:30,0,0.8,29.7,8.24,0
330,2021-08-13,19:57:48,0,0.8,29.7,8.24,0
331,2021-08-13,21:02:30,0,0.8,29.7,8.24,0
332,2021-08-13,21:02:30,0,0.8,29.7,8.24,0
342,2021-09-03,19:57:48,0,1,23.7,0,0
343,2021-09-03,19:57:48,0,1,23.7,0,0
344,2021-09-03,19:57:48,0,1,23.7,0,0
345,2021-09-03,21:02:30,0,1,23.7,0,0
346,2021-09-03,21:02:30,0,1,23.7,0,0
347,2021-09-03,21:02:30,0,1,23.7,0,0
486,2021-09-03,08:05:30,0,1,23.7,0,0
487,2021-09-03,05:55:48,0,1,23.7,0,0
488,2021-09-03,06:36:48,0,1,23.7,0,0
348,2021-10-16,19:57:48,0,0.8,17.5,0,1
349,2021-10-16,19:57:48,0,0.8,17.5,0,1
350,2021-10-16,19:48:30,0,0.8,17.5,0,1
351,2021-10-16,19:48:30,0,0.8,17.5,0,1
352,2021-10-16,19:48:30,0,0.8,17.5,0,1
353,2021-10-16,19:48:30,0,0.8,17.5,0,1
354,2021-10-16,19:48:30,0,0.8,17.5,0,1
355,2021-10-16,19:48:30,0,0.8,17.5,0,1
356,2021-10-16,19:57:48,0,0.8,17.5,0,1
523,2021-10-16,05:55:48,0,0.8,17.5,0,1
357,2021-04-02,18:48:30,0,1,18.1,0,0
358,2021-04-02,21:05:30,0,1,18.1,0,0
379,2021-04-02,14:57:48,0,1,18.1,0,0
380,2021-04-02,17:05:30,0,1,18.1,0,0
381,2021-04-02,17:16:42,0,1,18.1,0,0
382,2021-04-02,17:31:42,0,1,18.1,0,0
531,2021-04-02,14:57:48,0,1,18.1,0,0
532,2021-04-02,17:05:30,0,1,18.1,0,0
533,2021-04-02,17:16:42,0,1,18.1,0,0
534,2021-04-02,17:31:42,0,1,18.1,0,0
359,2021-04-24,18:48:30,0,0.9,17.4,0,1
360,2021-04-24,18:57:48,0,0.9,17.4,0,1
361,2021-04-24,18:57:48,0,0.9,17.4,0,1
362,2021-04-24,18:57:48,0,0.9,17.4,0,1
363,2021-04-24,18:57:48,0,0.9,17.4,0,1
364,2021-04-24,19:36:24,0,0.9,17.4,0,1
365,2021-04-24,20:02:30,0,0.9,17.4,0,1
366,2021-04-24,20:02:30,0,0.9,17.4,0,1
367,2021-07-16,18:48:30,0,0.75,21.8,4.42,0
368,2021-07-16,19:36:24,0,0.75,21.8,4.42,0
369,2021-07-16,20:02:30,0,0.75,21.8,4.42,0
370,2021-07-16,20:02:30,0,0.75,21.8,4.42,0
371,2021-07-16,20:02:30,0,0.75,21.8,4.42,0
372,2021-10-03,18:57:48,0,0.3,18,0.01,1
521,2021-10-03,05:46:30,0,0.3,18,0.01,1
522,2021-10-03,07:02:30,0,0.3,18,0.01,1
373,2021-03-26,16:02:30,0,0.9,14.5,0,0
374,2021-03-26,14:48:30,0,0.9,14.5,0,0
375,2021-03-26,16:02:30,0,0.9,14.5,0,0
376,2021-03-26,17:05:30,0,0.9,14.5,0,0
377,2021-03-26,17:05:30,0,0.9,14.5,0,0
378,2021-03-26,17:43:30,0,0.9,14.5,0,0
525,2021-03-26,16:02:30,0,0.9,14.5,0,0
526,2021-03-26,14:48:30,0,0.9,14.5,0,0
527,2021-03-26,16:02:30,0,0.9,14.5,0,0
528,2021-03-26,17:05:30,0,0.9,14.5,0,0
529,2021-03-26,17:05:30,0,0.9,14.5,0,0
530,2021-03-26,17:43:30,0,0.9,14.5,0,0
383,2021-07-24,14:48:30,1,0,28.6,2.3,1
384,2021-07-24,14:57:48,1,0,28.6,2.3,1
385,2021-07-24,14:57:48,1,0,28.6,2.3,1
386,2021-07-24,14:57:48,1,0,28.6,2.3,1
387,2021-07-24,14:48:30,1,0,28.6,2.3,1
388,2021-07-24,14:48:30,1,0,28.6,2.3,1
389,2021-07-24,14:48:30,1,0,28.6,2.3,1
390,2021-07-24,14:48:30,1,0,28.6,2.3,1
391,2021-07-24,14:48:30,1,0,28.6,2.3,1
392,2021-07-24,16:02:30,1,0,28.6,2.3,1
393,2021-07-24,15:36:24,1,0,28.6,2.3,1
394,2021-07-24,16:02:30,1,0,28.6,2.3,1
535,2021-07-24,14:48:30,1,0,28.6,2.3,1
536,2021-07-24,14:57:48,1,0,28.6,2.3,1
537,2021-07-24,14:57:48,1,0,28.6,2.3,1
538,2021-07-24,14:57:48,1,0,28.6,2.3,1
539,2021-07-24,14:48:30,1,0,28.6,2.3,1
540,2021-07-24,14:48:30,1,0,28.6,2.3,1
541,2021-07-24,14:48:30,1,0,28.6,2.3,1
542,2021-07-24,14:48:30,1,0,28.6,2.3,1
543,2021-07-24,14:48:30,1,0,28.6,2.3,1
544,2021-07-24,16:02:30,1,0,28.6,2.3,1
545,2021-07-24,15:36:24,1,0,28.6,2.3,1
546,2021-07-24,16:02:30,1,0,28.6,2.3,1
395,2021-10-15,14:48:30,0,0.9,17.9,0,0
396,2021-10-15,14:48:30,0,0.9,17.9,0,0
397,2021-10-15,14:57:48,0,0.9,17.9,0,0
398,2021-10-15,16:02:30,0,0.9,17.9,0,0
