,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-05-30,0,2,2,3,2,3,0,0,1,1,1,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,9
2021-06-04,1,2,2,2,5,5,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-05,2,2,2,2,2,2,0,0,0,0,0,0,0,25,25,25,25,25,0,-1,-1,-1,-1,-1,-1,-1,9
2021-06-11,6,6,6,6,6,4,2,2,0,0,0,0,0,0,0,0,0,0,27,38,38,-1,-1,-1,-1,-1,9
2021-06-12,0,3,3,2,3,5,3,3,2,2,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-13,1,3,3,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,9
2021-06-19,0,0,0,0,0,1,2,2,1,1,1,1,0,-1,-1,-1,-1,-1,6,0,0,6,6,6,6,-1,9
2021-06-20,0,0,0,0,0,0,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,9
2021-06-25,4,5,5,5,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-06-26,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-06-27,0,4,4,4,4,9,3,3,4,2,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-02,0,3,3,3,3,4,0,0,1,1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,9
2021-07-03,3,5,5,5,5,5,0,0,1,1,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,9
2021-07-04,2,3,3,3,3,9,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-09,0,2,2,2,2,4,3,3,0,0,0,0,0,-1,5,5,5,5,0,0,0,-1,-1,-1,-1,-1,9
2021-07-11,2,2,2,2,2,2,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-16,0,2,2,1,1,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-07-17,1,3,3,3,3,5,3,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-18,0,5,5,4,5,8,6,6,5,5,4,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-23,1,1,1,2,3,4,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-24,1,5,5,1,2,8,4,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-25,2,7,7,7,8,8,4,4,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-30,3,5,5,5,2,3,4,4,4,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,9
2021-07-31,0,1,1,1,1,5,1,1,1,1,1,1,0,-1,0,0,0,0,0,36,36,36,36,36,36,-1,9
2021-08-01,3,4,4,4,4,3,2,2,2,1,1,1,0,0,0,0,0,0,1,1,1,1,31,31,31,-1,9
2021-08-06,1,7,7,7,7,5,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,-1,-1,-1,-1,-1,9
2021-08-07,1,6,6,6,7,7,5,6,5,5,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-08,2,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-13,2,5,5,5,4,7,3,3,2,2,2,2,0,0,0,0,0,3,0,1,1,1,1,1,1,-1,9
2021-08-14,0,2,2,0,0,5,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-15,0,2,2,0,2,6,1,2,3,3,3,2,0,-1,0,0,-1,49,0,0,0,0,0,0,0,-1,9
2021-08-20,0,4,4,4,3,4,1,1,0,0,0,0,0,-1,0,0,0,0,0,3,3,-1,-1,-1,-1,-1,9
2021-08-21,5,6,6,1,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-22,1,1,1,1,1,4,0,0,0,0,0,0,0,7,7,7,7,7,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-27,0,1,1,1,3,2,0,0,0,0,0,0,0,-1,3,3,3,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-28,1,2,2,2,2,0,1,1,1,1,1,1,0,0,0,0,0,0,-1,2,2,2,2,2,2,-1,9
2021-08-29,1,4,4,2,2,3,0,0,0,0,0,0,0,1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-09-03,4,6,6,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-09-04,1,4,4,2,3,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,9
2021-09-05,0,6,6,6,6,5,4,4,2,2,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-09-10,2,4,4,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,9
2021-09-17,1,1,1,1,3,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,-1,-1,-1,9
2021-09-18,3,4,4,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,9
2021-09-19,0,1,1,0,0,3,4,3,3,1,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,9
2021-09-24,3,4,4,4,3,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-09-25,1,1,1,0,0,3,3,3,3,2,2,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,9
2021-09-26,0,1,1,1,1,5,2,2,1,1,1,1,0,-1,0,0,0,0,0,0,0,1,1,1,1,-1,9
2021-10-01,4,5,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-10-02,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,-1,0,-1,-1,0,0,0,0,-1,9
2021-10-03,4,5,5,4,4,5,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-10-08,2,6,6,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,9
2021-10-09,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,-1,9
2021-10-10,0,0,0,0,1,1,2,2,2,2,2,2,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
2021-10-15,0,3,3,5,6,1,0,0,0,0,0,0,0,-1,0,0,0,0,7,-1,-1,-1,-1,-1,-1,-1,9
2021-10-16,1,1,1,0,0,4,1,1,1,1,1,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,9
2021-10-17,0,1,1,0,1,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-10-22,1,1,1,1,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,9
2021-10-23,0,1,1,0,1,1,1,1,1,1,1,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,9
2021-10-24,0,3,3,2,2,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-10-29,0,0,0,0,0,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,9
