,RO,SG,W,ZFH,ZUE,AA,OL,SO,BI,NE,YV,MOR,GE,GEAP,RO_days_before_last_booking,SG_days_before_last_booking,W_days_before_last_booking,ZFH_days_before_last_booking,ZUE_days_before_last_booking,AA_days_before_last_booking,OL_days_before_last_booking,SO_days_before_last_booking,BI_days_before_last_booking,NE_days_before_last_booking,YV_days_before_last_booking,MOR_days_before_last_booking,GE_days_before_last_booking,GEAP_days_before_last_booking,capacity
2019-05-26,0,0,0,0,0,2,3,3,4,2,2,2,0,0,-1,-1,-1,-1,-1,1,1,1,1,30,30,30,-1,-1,12
2019-05-27,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,12
2019-05-28,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,12
2019-05-29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2019-05-30,0,0,0,0,5,5,5,5,4,5,2,2,0,0,-1,-1,-1,-1,3,3,3,3,3,1,3,3,-1,-1,12
2019-05-31,0,0,0,0,0,1,3,3,1,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,12
2019-06-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,12
2019-06-02,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,12
2019-06-03,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,12
2019-06-04,0,0,0,0,0,1,2,2,1,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,12
2019-06-05,0,0,0,0,1,1,3,1,0,0,0,0,0,0,-1,-1,-1,-1,2,2,0,2,-1,-1,-1,-1,-1,-1,12
2019-06-06,0,0,0,0,0,0,1,1,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,52,52,1,1,1,1,-1,-1,12
2019-06-07,0,0,0,0,0,0,1,2,5,5,5,3,0,0,-1,-1,-1,-1,-1,-1,2,1,2,2,2,2,-1,-1,12
2019-06-08,0,0,0,0,1,3,3,2,1,2,2,1,0,0,-1,-1,-1,-1,2,1,2,2,13,1,1,13,-1,-1,12
2019-06-09,0,0,0,0,1,2,2,1,1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,1,61,-1,-1,-1,-1,-1,12
2019-06-10,0,0,0,0,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,12,12,12,12,12,12,12,12,-1,-1,12
2019-06-11,0,0,0,0,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,0,0,0,-1,-1,12
2019-06-13,0,0,0,0,1,2,3,1,2,1,0,0,0,0,-1,-1,-1,-1,1,0,0,1,0,0,-1,-1,-1,-1,12
2019-06-14,0,0,0,0,3,4,4,3,1,1,1,1,1,0,-1,-1,-1,-1,1,1,1,1,4,4,4,4,4,-1,12
2019-06-15,0,0,0,0,3,3,3,1,0,2,0,0,0,0,-1,-1,-1,-1,2,2,2,0,-1,0,-1,-1,-1,-1,12
2019-06-16,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,12
2019-06-18,0,0,0,0,1,1,1,1,3,3,1,1,0,0,-1,-1,-1,-1,2,2,2,2,1,1,1,1,-1,-1,12
2019-06-19,0,0,0,0,1,2,4,2,1,1,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,-1,-1,-1,-1,12
2019-06-20,0,0,0,0,0,0,1,1,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,87,87,3,3,3,3,-1,-1,12
2019-06-21,0,0,0,0,0,0,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,50,50,50,50,50,50,-1,-1,12
2019-06-22,0,0,0,0,4,4,4,4,2,2,2,0,0,0,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,-1,12
2019-06-23,0,0,0,0,1,1,1,2,2,3,1,0,0,0,-1,-1,-1,-1,0,6,6,1,1,0,6,-1,-1,-1,12
2019-06-24,0,0,0,0,1,1,1,1,2,2,2,2,0,0,-1,-1,-1,-1,2,2,2,2,0,0,0,0,-1,-1,12
2019-06-25,0,0,0,0,3,3,4,2,2,2,3,2,1,0,-1,-1,-1,-1,0,0,0,1,1,1,0,1,1,-1,12
2019-06-26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2019-06-28,0,0,0,0,0,1,2,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,12
2019-06-29,0,0,0,0,2,2,2,2,2,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,12
2019-06-30,0,0,0,0,2,3,3,2,2,2,2,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,12
2019-07-01,0,0,0,0,1,2,2,2,4,4,3,3,0,0,-1,-1,-1,-1,2,2,2,2,2,2,2,2,-1,-1,12
2019-07-02,0,0,0,0,0,0,1,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,1,1,1,1,-1,-1,12
2019-07-04,0,0,0,0,1,1,2,1,1,1,1,1,0,0,-1,-1,-1,-1,1,1,0,1,1,1,1,1,-1,-1,12
2019-07-05,0,0,0,0,2,2,2,1,1,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2019-07-08,0,0,0,0,2,1,1,0,1,1,1,1,0,0,-1,-1,-1,-1,0,0,0,-1,56,56,56,56,-1,-1,12
2019-07-09,0,0,0,0,1,1,1,1,2,2,2,2,0,0,-1,-1,-1,-1,0,1,1,1,2,2,2,2,-1,-1,12
2019-07-10,0,0,0,0,1,2,3,2,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,-1,-1,12
2019-07-11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,12
2019-07-12,0,0,0,0,0,0,0,0,3,3,3,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,12
2019-07-13,0,0,0,0,2,2,3,3,3,2,0,0,0,0,-1,-1,-1,-1,3,3,1,1,1,1,-1,-1,-1,-1,12
2019-07-14,0,0,0,0,0,2,3,3,1,1,1,0,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,12
2019-07-15,0,0,0,0,3,5,5,5,8,6,6,6,0,0,-1,-1,-1,-1,1,1,1,1,0,0,0,0,-1,-1,12
2019-07-16,0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,12
2019-07-17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,12
2019-07-18,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,12
2019-07-19,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,12
2019-07-21,0,0,0,0,1,5,5,5,5,5,4,4,0,0,-1,-1,-1,-1,2,1,1,1,2,2,4,4,-1,-1,12
2019-07-22,0,0,0,0,4,4,5,2,4,4,4,4,0,0,-1,-1,-1,-1,1,1,0,1,0,0,0,0,-1,-1,12
2019-07-23,0,0,0,0,1,2,3,2,3,2,1,1,0,0,-1,-1,-1,-1,1,1,0,0,1,1,1,1,-1,-1,12
2019-07-24,0,0,0,0,2,3,3,3,2,2,2,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2019-07-25,0,0,0,0,1,2,2,1,1,1,1,1,0,0,-1,-1,-1,-1,8,0,0,8,8,8,8,8,-1,-1,12
2019-07-26,0,0,0,0,1,1,1,4,4,2,2,1,0,0,-1,-1,-1,-1,25,25,25,1,1,1,1,25,-1,-1,12
2019-07-27,0,0,0,0,0,1,2,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,55,9,9,9,9,9,9,-1,-1,12
2019-07-28,0,0,0,0,0,0,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,-1,-1,12
2019-07-29,0,0,0,0,1,3,3,3,2,2,2,2,0,0,-1,-1,-1,-1,1,1,1,1,11,11,11,11,-1,-1,12
2019-07-30,0,0,0,0,3,4,4,4,5,4,3,3,0,0,-1,-1,-1,-1,0,0,0,1,1,1,1,1,-1,-1,12
2019-07-31,0,0,0,0,1,1,1,1,3,3,3,3,1,0,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,-1,12
2019-08-01,0,0,0,0,1,2,2,2,2,4,1,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2019-08-02,0,0,0,0,0,1,1,1,3,3,2,2,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,12
2019-08-03,0,0,0,0,1,3,3,3,3,3,1,1,0,0,-1,-1,-1,-1,1,1,1,1,0,0,8,8,-1,-1,12
2019-08-05,0,0,0,0,1,3,3,2,3,3,3,3,0,0,-1,-1,-1,-1,1,1,1,1,0,0,0,0,-1,-1,12
2019-08-07,0,0,0,0,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2019-08-08,0,0,0,0,3,1,2,1,1,3,3,3,1,0,-1,-1,-1,-1,0,69,0,69,69,1,1,1,69,-1,12
2019-08-09,0,0,0,0,4,5,6,8,6,4,2,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2019-08-10,0,0,0,0,0,0,1,1,1,2,2,2,0,0,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,-1,-1,12
2019-08-11,0,0,0,0,1,2,2,2,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,12
2019-08-12,0,0,0,0,0,0,2,2,3,3,3,3,0,0,-1,-1,-1,-1,-1,-1,26,26,26,26,26,26,-1,-1,12
2019-08-15,0,0,0,0,1,0,1,1,1,1,2,2,0,0,-1,-1,-1,-1,0,-1,5,5,5,5,2,2,-1,-1,12
2019-08-16,0,0,0,0,2,2,4,3,3,3,1,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,1,-1,-1,12
2019-08-17,0,0,0,0,0,0,0,0,2,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,12
2019-08-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,12
2019-08-19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,12
2019-08-20,0,0,0,0,2,1,2,2,1,1,1,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2019-08-21,0,0,0,0,1,0,0,0,2,3,3,2,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,-1,-1,12
2019-08-22,0,0,0,0,2,3,5,3,3,2,3,3,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2019-08-23,0,0,0,0,1,2,3,3,3,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,12
2019-08-24,0,0,0,0,2,2,2,2,2,2,2,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,12
2019-08-25,0,0,0,0,3,4,6,6,4,4,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,12
2019-08-26,0,0,0,0,1,1,1,1,2,2,2,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2019-08-27,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,12
2019-08-28,0,0,0,0,0,0,2,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,60,60,60,60,60,-1,-1,12
2019-08-29,0,0,0,0,1,0,2,2,2,2,2,2,0,0,-1,-1,-1,-1,0,-1,5,5,5,5,5,5,-1,-1,12
2019-08-30,0,0,0,0,1,1,2,2,2,2,2,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2019-08-31,0,0,0,0,4,6,6,4,4,4,5,5,0,0,-1,-1,-1,-1,1,1,1,2,4,4,0,0,-1,-1,12
2019-09-01,0,0,0,0,1,1,2,2,3,3,3,2,0,0,-1,-1,-1,-1,5,5,5,5,2,2,2,5,-1,-1,12
2019-09-02,0,0,0,0,1,2,2,2,4,4,3,3,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2019-09-03,0,0,0,0,3,3,3,3,4,4,3,3,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2019-09-04,0,0,0,0,0,0,1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,-1,-1,12
2019-09-05,0,0,0,0,1,1,1,1,3,3,3,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2019-09-06,0,0,0,0,5,5,5,5,2,2,2,2,0,0,-1,-1,-1,-1,4,4,4,4,1,1,1,1,-1,-1,12
2019-09-07,0,0,0,0,0,0,0,0,1,4,4,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,5,0,0,1,1,-1,12
2019-09-09,0,0,0,0,1,2,3,3,2,2,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,12
2019-09-10,0,0,0,0,0,1,1,3,2,2,2,2,0,0,-1,-1,-1,-1,-1,0,0,0,1,1,1,1,-1,-1,12
2019-09-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2019-09-13,0,0,0,0,3,3,3,2,1,0,0,1,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,1,-1,-1,12
2019-09-14,0,0,0,0,1,1,4,4,3,3,2,2,0,0,-1,-1,-1,-1,3,3,0,0,0,0,1,1,-1,-1,12
2019-09-15,0,0,0,0,3,3,4,4,5,3,3,2,0,0,-1,-1,-1,-1,0,0,0,0,0,1,1,1,-1,-1,12
2019-09-16,0,0,0,0,0,2,2,2,1,1,2,1,0,0,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,12
2019-09-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,12
2019-09-18,0,0,0,0,1,4,5,5,1,3,1,1,0,0,-1,-1,-1,-1,6,6,6,6,6,0,6,6,-1,-1,12
2019-09-19,0,0,0,0,1,1,2,1,2,1,0,0,0,0,-1,-1,-1,-1,1,1,0,1,0,0,-1,-1,-1,-1,12
2019-09-20,0,0,0,0,0,1,1,1,1,3,1,1,0,0,-1,-1,-1,-1,-1,6,6,6,6,0,6,6,-1,-1,12
2019-09-21,0,0,0,0,0,0,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,44,44,44,44,44,44,-1,-1,12
2019-09-23,0,0,0,0,0,0,1,1,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,12
2019-09-24,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,12
2019-09-25,0,0,0,0,0,0,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,-1,12
2019-09-26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
2019-09-27,0,0,0,0,0,0,1,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,0,-1,6,6,6,6,6,-1,12
2019-09-28,0,0,0,0,0,3,4,4,2,2,2,2,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,12
2019-09-29,0,0,0,0,0,0,2,2,3,3,1,1,0,0,-1,-1,-1,-1,-1,-1,4,4,1,1,1,1,-1,-1,12
2019-09-30,0,0,0,0,0,0,1,1,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,21,21,21,1,1,1,21,-1,12
2019-10-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,12
2019-10-03,0,0,0,0,2,1,2,2,2,2,2,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2019-10-04,0,0,0,0,2,2,2,2,3,3,2,2,0,0,-1,-1,-1,-1,5,5,5,5,0,0,5,5,-1,-1,12
2019-10-05,0,0,0,0,1,1,1,1,3,1,1,0,0,0,-1,-1,-1,-1,1,1,1,1,1,8,8,-1,-1,-1,12
2019-10-07,0,0,0,0,1,1,1,1,2,2,2,2,0,0,-1,-1,-1,-1,19,19,19,19,0,0,0,0,-1,-1,12
2019-10-08,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,12
2019-10-09,0,0,0,0,0,0,0,0,0,3,3,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,12
2019-10-10,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,12
2019-10-11,0,0,0,0,4,4,4,4,2,3,2,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2019-10-12,0,0,0,0,2,2,2,1,1,3,3,3,0,0,-1,-1,-1,-1,1,1,1,2,2,0,0,0,-1,-1,12
2019-10-13,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,12
2019-10-14,0,0,0,0,0,2,2,3,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,12
2019-10-15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12
2019-10-17,0,0,0,0,1,2,2,2,2,1,1,1,0,0,-1,-1,-1,-1,2,1,1,1,1,1,1,1,-1,-1,12
2019-10-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,12
2019-10-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,12
2019-10-23,0,0,0,0,0,0,0,0,0,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,12
2019-10-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
2020-04-04,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,12
2020-04-12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
2020-04-14,0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,12
2020-04-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,12
2020-04-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,12
2020-04-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,12
2020-04-25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,12
2020-04-27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2020-04-29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,58,58,-1,-1,12
2020-05-07,0,0,0,0,1,2,2,1,1,1,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,-1,-1,-1,-1,12
2020-05-08,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,12
